model,class,TP,FP,FN,TN,precision,recall,f1
LinearSVC_C1.0,financial_reports,1713,19,26,3211,0.9890300230946882,0.9850488786659,0.9870354364736387
LinearSVC_C1.0,government_tenders,269,3,4,4693,0.9889705882352942,0.9853479853479854,0.9871559633027523
LinearSVC_C1.0,laws_and_regulations,756,31,18,4164,0.9606099110546379,0.9767441860465116,0.968609865470852
LinearSVC_C1.0,manuals,770,16,30,4153,0.9796437659033079,0.9625,0.9709962168978562
LinearSVC_C1.0,patents,436,5,6,4522,0.9886621315192744,0.9864253393665159,0.9875424688561723
LinearSVC_C1.0,scientific_articles,933,18,8,4010,0.9810725552050473,0.9914984059511158,0.9862579281183932
