class,recall,f1,TP,FP,FN,TN
manuals,0.9821910415542364,0.9845820935893967,1820,24,33,4581
government_tenders,0.9669669669669669,0.980213089802131,322,2,11,6123
financial_reports,0.9676487579433853,0.9651397291846731,1675,65,56,4662
patents,0.9565217391304348,0.9595015576323987,462,18,21,5957
laws_and_regulations,0.9362657091561939,0.9564419990829895,1043,24,71,5320
scientific_articles,0.9819915254237288,0.9522342064714946,927,76,17,5438
