class,recall,f1,TP,FP,FN,TN
patents,0.9864253393665159,0.9875424688561723,436,5,6,4522
government_tenders,0.9853479853479854,0.9871559633027523,269,3,4,4693
financial_reports,0.9850488786659,0.9870354364736387,1713,19,26,3211
scientific_articles,0.9914984059511158,0.9862579281183932,933,18,8,4010
manuals,0.9625,0.9709962168978562,770,16,30,4153
laws_and_regulations,0.9767441860465116,0.968609865470852,756,31,18,4164
